measure,location,sex,age,metric,year,val,upper,lower
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2012,0.304806078998673,0.317475395358776,0.290746773418174
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2013,0.297009920855409,0.311376445580287,0.282989950241942
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2014,0.283726358686068,0.299467820807524,0.267411774064112
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2015,0.268954941109932,0.284749399228741,0.250598631614232
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2016,0.255531712744802,0.273371794683728,0.236849517421737
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2017,0.244289412086417,0.263779487668419,0.22590209143064
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2018,0.234630978920494,0.255578202757835,0.213129321042191
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2019,0.22601681619296,0.247350727524429,0.204473927354167
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2020,0.218086032011274,0.240595445420636,0.196889842554216
Age-specific fertility rate,Egypt,Female,20-24 years,Rate,2021,0.21054495164061,0.234106742703414,0.187902464666849
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2012,0.225447154261751,0.237933501952664,0.213842527301041
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2013,0.227285648147434,0.239643526605802,0.215307213613242
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2014,0.225618973232672,0.238116214665715,0.213016765126273
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2015,0.221606295951909,0.233982003834373,0.208205957345975
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2016,0.216316146908633,0.229080688568105,0.203079055320766
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2017,0.21008911221726,0.22280916624595,0.197427646379675
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2018,0.202844102341761,0.215763442669851,0.189623078288385
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2019,0.194885296768788,0.207896035695821,0.182181464344965
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2020,0.185994561452878,0.199735099126982,0.172677796222858
Age-specific fertility rate,Egypt,Female,25-29 years,Rate,2021,0.179350210729166,0.194186600393991,0.166176208462408
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2012,0.155912037277007,0.170749342712672,0.142611428102449
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2013,0.156383461450918,0.170420027272393,0.142288549413592
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2014,0.154558626280667,0.168951950508279,0.140386746574436
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2015,0.151237750401906,0.165684740399025,0.137098644259396
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2016,0.146972862933687,0.161504684416077,0.133223357386127
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2017,0.142015952560405,0.156548237293088,0.12840647231522
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2018,0.13571192649686,0.15022980226115,0.122234851709274
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2019,0.12841007451183,0.143454275025473,0.114370127034591
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2020,0.122460770621869,0.137698882693797,0.108453042136379
Age-specific fertility rate,Egypt,Female,30-34 years,Rate,2021,0.119995432222292,0.135816758490502,0.104910497961064
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2012,0.0777879548732946,0.0899228565408343,0.0676296752507095
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2013,0.0760331664816407,0.0878372899590292,0.0658557503005731
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2014,0.0733331516831513,0.0840285044660306,0.0630711298395605
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2015,0.0704343457349656,0.0813167524767318,0.0605092153592904
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2016,0.0674251655625148,0.0785580871095395,0.0569773772343657
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2017,0.0639765203914297,0.0740257109039165,0.0540780669257395
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2018,0.0600696526843204,0.0706978172530842,0.0508596935194747
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2019,0.0555838827935082,0.0660352642696573,0.0464563887780604
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2020,0.0519488196039598,0.0621542630921206,0.0428355740350831
Age-specific fertility rate,Egypt,Female,35-39 years,Rate,2021,0.0504791584432837,0.0614418097386754,0.0411674348396191
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2012,0.0171801075237931,0.0202713753622266,0.014245897924693
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2013,0.0168190527535129,0.0200906784053217,0.0139060432274051
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2014,0.0163325423717918,0.0194520789466335,0.0135949250772504
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2015,0.0158071060337017,0.0188394614990862,0.0132462096294651
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2016,0.0151901237594377,0.0180939922296558,0.012657311730468
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2017,0.0144740529200311,0.0173358447693092,0.0119423698438528
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2018,0.0136580939333497,0.0163245094304018,0.011250449884526
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2019,0.0128323689532732,0.0156678747439343,0.010490922596729
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2020,0.0119928049960539,0.0147942837677108,0.009478704974822
Age-specific fertility rate,Egypt,Female,40-44 years,Rate,2021,0.011334463068743,0.0142785279636961,0.0087083467383231
Age-specific fertility rate,Egypt,Female,45-49 years,Rate,2012,0.0044250911113383,0.0058301534786208,0.0032826348045223
