measure,location,sex,age,metric,year,val,upper,lower
Life expectancy,Arizona,Male,20-24 years,Years,2012,57.84239521430205,58.08411028471135,57.606659490219954
Life expectancy,Arizona,Female,20-24 years,Years,2012,62.55310020433389,62.8070731018966,62.30257348951346
Life expectancy,Arizona,Male,20-24 years,Years,2013,57.89900628001816,58.149347656653234,57.66100360778061
Life expectancy,Arizona,Female,20-24 years,Years,2013,62.62479889194977,62.87193634334367,62.37032981010006
Life expectancy,Arizona,Male,20-24 years,Years,2014,58.13327193012353,58.38489908911842,57.883829405315026
Life expectancy,Arizona,Female,20-24 years,Years,2014,62.65366414394491,62.91573569834548,62.381463810987476
Life expectancy,Arizona,Male,20-24 years,Years,2015,57.78563715935283,58.03777459853289,57.53347247587023
Life expectancy,Arizona,Female,20-24 years,Years,2015,62.575283215485875,62.82865060464903,62.29510467627183
Life expectancy,Arizona,Male,20-24 years,Years,2016,57.36217314012486,57.59386757118225,57.112431373236376
Life expectancy,Arizona,Female,20-24 years,Years,2016,62.43202792400857,62.68396634261416,62.18204677611774
Life expectancy,Arizona,Male,20-24 years,Years,2017,57.46015363453596,57.72143355378279,57.20735120526382
Life expectancy,Arizona,Female,20-24 years,Years,2017,62.658633295969786,62.91028373329604,62.42692748729946
Life expectancy,Arizona,Male,20-24 years,Years,2018,57.278888155566776,57.51296068995289,57.02397244618402
Life expectancy,Arizona,Female,20-24 years,Years,2018,62.65198837399301,62.920061589710244,62.39090608902017
Life expectancy,Arizona,Male,20-24 years,Years,2019,57.23623382094435,57.49702026282843,56.982972287663756
Life expectancy,Arizona,Female,20-24 years,Years,2019,62.75017318356953,63.01243616757459,62.47168235695871
Life expectancy,Arizona,Male,20-24 years,Years,2020,54.294837405954574,54.52760010555893,54.04710883035701
Life expectancy,Arizona,Female,20-24 years,Years,2020,60.522262825391635,60.76783252030166,60.26418274691986
Life expectancy,Arizona,Male,20-24 years,Years,2021,53.64141190072771,55.570406740339195,51.57946238943531
Life expectancy,Arizona,Female,20-24 years,Years,2021,60.073893286429076,61.77529772172246,58.459337019994905
Life expectancy,Arizona,Male,25-29 years,Years,2012,53.23197258804197,53.46799956041376,53.001879265618996
Life expectancy,Arizona,Female,25-29 years,Years,2012,57.69999367585802,57.950363428836994,57.45304610635682
Life expectancy,Arizona,Male,25-29 years,Years,2013,53.2787747211873,53.52366984746852,53.04628531984115
Life expectancy,Arizona,Female,25-29 years,Years,2013,57.77257920924964,58.01614880480361,57.52180374883121
Life expectancy,Arizona,Male,25-29 years,Years,2014,53.49596949413333,53.74207294675743,53.2518911843947
Life expectancy,Arizona,Female,25-29 years,Years,2014,57.80041369141719,58.05880673282159,57.53215723122314
Life expectancy,Arizona,Male,25-29 years,Years,2015,53.163966402523066,53.41038680414594,52.917476465798494
Life expectancy,Arizona,Female,25-29 years,Years,2015,57.72730770474949,57.97696866514685,57.45128011451133
